bug1,bug2,,title1,title2
https://bugzilla.mozilla.org/show_bug.cgi?id=1181694,https://bugzilla.mozilla.org/show_bug.cgi?id=1182147,n,"crash in mozilla::MediaPipelineFactory::CreateMediaPipelineReceiving(mozilla::JsepTrackPair const&, mozilla::JsepTrack const&, unsigned int, mozilla::RefPtr<T>, mozilla::RefPtr<T>, nsAutoPtr<T>, mozilla::RefPtr<T> const&)","crash in mozalloc_abort(char const* const) | NS_DebugBreak | mozilla::layers::BasicCompositor::DrawQuad(mozilla::gfx::RectTyped<T> const&, mozilla::gfx::RectTyped<T> const&, mozilla::layers::EffectChain const&, float, mozilla::gfx::Matrix4x4 const&)"
https://bugzilla.mozilla.org/show_bug.cgi?id=1271516,https://bugzilla.mozilla.org/show_bug.cgi?id=1276880,n,File -> New Container Tab doesn't work if there are no windows open,Containers: Opening same-origin link in new tab from active container should put new tab in same container
https://bugzilla.mozilla.org/show_bug.cgi?id=1233886,https://bugzilla.mozilla.org/show_bug.cgi?id=1276880,n,Add options to new tab button or down arrow to open tabs in different container types,Containers: Opening same-origin link in new tab from active container should put new tab in same container
https://bugzilla.mozilla.org/show_bug.cgi?id=1067018,https://bugzilla.mozilla.org/show_bug.cgi?id=1098327,n,"crash in mozilla::gfx::SourceSurfaceAlignedRawData::InitWithStride(mozilla::gfx::IntSizeTyped<mozilla::gfx::UnknownUnits> const&, mozilla::gfx::SurfaceFormat, int, bool)","Intermittent test_scopes.html | application crashed [@ mozilla::dom::workers::ServiceWorkerManager::HandleError(JSContext*, nsACString_internal const&, nsAString_internal const&, nsString, nsString, nsString, unsigned int, unsigned int, unsigned int)]"
https://bugzilla.mozilla.org/show_bug.cgi?id=1061894,https://bugzilla.mozilla.org/show_bug.cgi?id=1133697,n,"Intermittent 346258-1.html,394810-1.html,400349-1.html,616930-1.html,639737-1.html | assertion count 1 is more than expected",Intermittent css-ruby/line-breaking-1.html | assertion count 1 is more than expected 0 assertions | nsRubyTextContainer breaks the assertion in nsTextFrame
https://bugzilla.mozilla.org/show_bug.cgi?id=1135572,https://bugzilla.mozilla.org/show_bug.cgi?id=1236316,n,Intermittent 944353.jpg | application terminated with exit code 1 or application terminated with exit code -9,Intermittent browser_webconsole_split.js | application terminated with exit code 1
https://bugzilla.mozilla.org/show_bug.cgi?id=1134841,https://bugzilla.mozilla.org/show_bug.cgi?id=1192449,n,"Intermittent test_fetch_event.html,test_https_fetch.html | Test timed out","Intermittent e10s-only browser_audioTabIcon.js | Test timed out | Found a tab after previous test timed out: about:blank | Found a tab after previous test timed out: data:text/html,test"
https://bugzilla.mozilla.org/show_bug.cgi?id=1092452,https://bugzilla.mozilla.org/show_bug.cgi?id=1148949,n,Intermittent browser_timeline_overview-initial-selection-02.js | The initial selection start is correct. | The initial selection end is correct.,"Intermittent test_deferred_start.html | Starting an animation with a delay starts from the correct point - Starting an animation with a delay starts from the correct point: assert_equals: Got a valid transform matrix on the compositor (got: """") expected 6"
https://bugzilla.mozilla.org/show_bug.cgi?id=1046930,https://bugzilla.mozilla.org/show_bug.cgi?id=1093567,n,"Intermittent test_SVGTransformListAddition.xhtml | application crashed [@ nsTArray_Impl<mozilla::MediaCache::Block, nsTArrayInfallibleAllocator>::ElementAt(unsigned int) + 0x1e] after ""Assertion failure: aIndex < Length() (invalid array index)""","Assertion failure: aIndex < Length() (invalid array index), at c:\users\mozilla\debug-builds\mozilla-central\firefox-debug\dist\include\nsTArray.h:936"
https://bugzilla.mozilla.org/show_bug.cgi?id=1096430,https://bugzilla.mozilla.org/show_bug.cgi?id=1097062,,Panel UI separator icon is wrong for Australis in dev edition 35,Australis Panel UI icon is too small on Nightly and Dev Edition
https://bugzilla.mozilla.org/show_bug.cgi?id=1217652,https://bugzilla.mozilla.org/show_bug.cgi?id=1253794,n,Intermittent browser_perf-clear-02.js | Found a tab after previous test timed out: doc_simple-test.html -,Intermittent e10s browser_net_statistics-02.js | Test timed out | Found a tab after previous test timed out: http://example.com/browser/devtools/client/netmonitor/test/html_statistics-test-page.html
https://bugzilla.mozilla.org/show_bug.cgi?id=1111016,https://bugzilla.mozilla.org/show_bug.cgi?id=1111022,,Self-support v0 (heartbeat only): client tracking,Self-support v0: load self-support page in a hidden tab
https://bugzilla.mozilla.org/show_bug.cgi?id=1088969,https://bugzilla.mozilla.org/show_bug.cgi?id=1107731,n,Upgrade Mozilla 36 to use NSS 3.17.3,Upgrade Mozilla 36 and 37 to use NSS 3.17.4
https://bugzilla.mozilla.org/show_bug.cgi?id=1074378,https://bugzilla.mozilla.org/show_bug.cgi?id=1107009,n,"crash in D3D10::CResourceCopy::ResourceCopyRegionGPU(D3D10::CResource*, unsigned long, unsigned long, unsigned long, unsigned long, D3D10::CResource*, unsigned long, D3D10_DDI_BOX const*)","Intermittent test_bug346659.html | application crashed [@ std::_Rb_tree<unsigned long, std::pair<unsigned long const, mozilla::layers::CompositorParent::LayerTreeState>, std::_Select1st<std::pair<unsigned long const, mozilla::layers::CompositorParent::Lay"
https://bugzilla.mozilla.org/show_bug.cgi?id=1144738,https://bugzilla.mozilla.org/show_bug.cgi?id=1238935,n,Crash [@ ObjectType],Crash [@ ObjectType] or Crash [@ CanInlineSetPropTypeCheck] with use-after-free
https://bugzilla.mozilla.org/show_bug.cgi?id=1234191,https://bugzilla.mozilla.org/show_bug.cgi?id=1263857,n,"Assertion failure: (ptrBits & 0x7) == 0, at ../../../dist/include/js/Value.h:854 or Crash [@ js::assertSameCompartmentDebugOnly<JS::Value>] or Crash [@ isSingleton] with ES6 Classes","Crash [@ js::gc::MaybeForwarded] or Assertion failure: (ptrBits & 0x7) == 0, at dist/include/js/Value.h:854"
https://bugzilla.mozilla.org/show_bug.cgi?id=1199049,https://bugzilla.mozilla.org/show_bug.cgi?id=1200869,n,Move CORS preflights to happen inside Necko,CORS preflight cache poisoning with a CORS header being mistaken with another CORS header
https://bugzilla.mozilla.org/show_bug.cgi?id=1186589,https://bugzilla.mozilla.org/show_bug.cgi?id=1200869,n,Ensure CORS preflight requests aren't intercepted,CORS preflight cache poisoning with a CORS header being mistaken with another CORS header
https://bugzilla.mozilla.org/show_bug.cgi?id=1111834,https://bugzilla.mozilla.org/show_bug.cgi?id=1200869,n,CORS request after preflight should not follow 30x redirect,CORS preflight cache poisoning with a CORS header being mistaken with another CORS header
https://bugzilla.mozilla.org/show_bug.cgi?id=1154003,https://bugzilla.mozilla.org/show_bug.cgi?id=1211636,n,"crash in DrawingContext::FillRectangle(D2D_RECT_F const*, ID2D1Brush*)","Nightly crash in mozilla::ipc::FatalError(char const*, char const*, unsigned long, bool) | mozilla::net::PNeckoParent::FatalError(char const* const) | mozilla::net::PNeckoParent::Read(mozilla::ipc::ContentPrincipalInfo*, IPC::Message const*, void**)"
https://bugzilla.mozilla.org/show_bug.cgi?id=1089454,https://bugzilla.mozilla.org/show_bug.cgi?id=1208226,n,"crash in DrawingContext::FillRectangle(D2D_RECT_F const*, ID2D1Brush*)","crash in mozilla::ipc::FatalError(char const*, char const*, unsigned long, bool) | mozilla::layers::PLayerTransactionParent::Read(mozilla::layers::OpSetLayerAttributes*, IPC::Message const*, void**)"
https://bugzilla.mozilla.org/show_bug.cgi?id=1089454,https://bugzilla.mozilla.org/show_bug.cgi?id=1211636,n,"crash in DrawingContext::FillRectangle(D2D_RECT_F const*, ID2D1Brush*)","Nightly crash in mozilla::ipc::FatalError(char const*, char const*, unsigned long, bool) | mozilla::net::PNeckoParent::FatalError(char const* const) | mozilla::net::PNeckoParent::Read(mozilla::ipc::ContentPrincipalInfo*, IPC::Message const*, void**)"
https://bugzilla.mozilla.org/show_bug.cgi?id=1089454,https://bugzilla.mozilla.org/show_bug.cgi?id=1122008,n,"crash in DrawingContext::FillRectangle(D2D_RECT_F const*, ID2D1Brush*)","crash in mozalloc_abort(char const* const) | NS_DebugBreak | mozilla::ipc::MessageChannel::DebugAbort(char const*, int, char const*, char const*, bool) | mozilla::ipc::MessageChannel::~MessageChannel()..."
https://bugzilla.mozilla.org/show_bug.cgi?id=1089454,https://bugzilla.mozilla.org/show_bug.cgi?id=1092216,n,"crash in DrawingContext::FillRectangle(D2D_RECT_F const*, ID2D1Brush*)","[meta] crash in mozalloc_abort(char const* const) | NS_DebugBreak | mozilla::ipc::MessageChannel::DebugAbort(char const*, int, char const*, char const*, bool) | mozilla::ipc::MessageChannel::Send(IPC::Message*, IPC::Message*)"
https://bugzilla.mozilla.org/show_bug.cgi?id=1162520,https://bugzilla.mozilla.org/show_bug.cgi?id=1208226,n,"crash in DrawingContext::FillRectangle(D2D_RECT_F const*, ID2D1Brush*)","crash in mozilla::ipc::FatalError(char const*, char const*, unsigned long, bool) | mozilla::layers::PLayerTransactionParent::Read(mozilla::layers::OpSetLayerAttributes*, IPC::Message const*, void**)"
