node,page_rank,betweenness,closeness,indegree,outdegree
tools/reorder/mcount,2.285,0.0,0.812,0,0
gfx/skia/include/core/SkPathEffect,7.71,8689.942,3.219,24,8
gfx/skia/src/images/SkImageDecoder_libpng,2.285,0.0,3.22,0,30
Guiddef,2.285,0.0,0.812,0,0
jis0208ext,2.285,0.0,0.812,0,0
ipc/chromium/src/base/string16,31.097,9727.473,3.22,25,6
gfx/skia/src/ports/SkOSFile_brew,2.285,0.0,3.219,0,1
netwerk/test/TestBlockingSocket,2.285,0.0,3.22,0,19
dom/plugins/ipc/PluginModuleParent,2.58,50459.758,3.22,3,42
media/libvpx/vp8/decoder/decodframe,2.454,53.597,3.219,2,41
editor/libeditor/base/nsEditProperty,9.509,4838.788,3.22,11,2
nsIDOMXPathNSResolver,2.285,0.0,0.812,0,0
security/nss/lib/libpkix/pkix_pl_nss/pki/pkix_pl_certpolicymap,6.191,51.385,3.219,7,9
widget/xpwidgets/nsClipboardPrivacyHandler,2.713,111.27,3.22,4,20
editor/libeditor/html/nsHTMLEditUtils,3.26,37.757,3.22,12,16
nsICookieManager,2.285,0.0,0.812,0,0
js/src/jsapi-tests/testDefineGetterSetterNonEnumerable,2.285,0.0,3.219,0,6
js/src/shell/jsworkers,2.324,0.0,3.219,1,0
tools/profiler/libunwind/src/include/tdep-mips/libunwind_i,2.621,1684.781,3.22,1,5
js/src/builtin/RegExp,6.339,1780.252,3.22,6,29
content/xslt/src/xpath/txExprParser,2.65,93591.861,3.22,6,30
nsprpub/pr/src/md/unix/symbian,2.285,0.0,3.22,0,2
security/nss/lib/freebl/ecl/ecl_gf,3.956,119.079,3.22,3,6
media/libsydneyaudio/src/sydney_audio_waveapi,2.285,0.0,3.22,0,3
accessible/src/base/ARIAStateMap,7.12,0.31,3.22,5,4
js/src/jsatominlines,17.727,77.773,3.22,25,12
gfx/cairo/libpixman/src/pixman-gradient-walker,3.223,0.5,3.22,3,4
gfx/skia/include/effects/SkArithmeticMode,2.462,0.0,3.219,1,2
gfx/skia/include/gpu/GrGLConfig,9.798,20427.023,3.219,18,6
dom/base/nsDOMError,21.913,0.444,3.22,176,1
nsILocalFile,2.285,0.0,0.812,0,0
mswsock,2.285,0.0,0.812,0,0
dbm/include/mcom_db,11.921,9527.232,3.22,21,5
accessible/src/base/nsAccUtils,13.247,7801.097,3.22,45,35
layout/mathml/nsMathMLmstyleFrame,2.428,789.476,3.22,2,18
nsIDOMAnimationEvent,2.285,0.0,0.812,0,0
netwerk/protocol/viewsource/nsViewSourceHandler,2.489,331.023,3.22,2,19
media/libvpx/vp8/common/subpixel,9.45,2.0,3.219,10,1
modules/libjar/nsIJARFactory,2.424,0.0,3.219,1,0
gfx/cairo/cairo/src/cairo-xlib-private,3.327,45.644,3.22,5,12
nsprpub/pr/tests/append,2.285,0.0,3.22,0,9
js/src/ctypes/libffi/testsuite/libffi.call/cls_1_1byte,2.285,0.0,3.219,0,2
security/nss/lib/softoken/legacydb/lgdb,3.417,2728.109,3.22,10,13
content/events/src/nsDOMTextEvent,2.419,12450.305,3.22,2,20
xpcom/tests/TestPriorityQueue,2.285,0.0,3.22,0,3
nsIDOMMutationEvent,2.285,0.0,0.812,0,0
js/ductwork/debugger/JSDebugger,2.387,0.0,3.22,1,20
security/nss/lib/pki/trustdomain,2.829,147.38,3.22,6,28
ipc/glue/SharedMemory_posix,2.285,0.0,3.22,0,1
widget/windows/nsAppShell,3.362,1278.568,3.22,8,16
xpcom/tests/static-checker/o14,3424.419,0.0,3.221,2867,0
layout/inspector/src/nsFontFace,2.474,4469.288,3.22,2,24
toolkit/library/nsDllMain,2.285,0.0,3.219,0,1
security/nss/lib/smime/cmsarray,3.186,31.461,3.22,9,7
gfx/cairo/cairo/src/cairo-gstate-private,17.095,658.792,3.22,8,6
nsIScrollable,2.285,0.0,0.812,0,0
ipc/chromium/src/chrome/common/extensions/user_script,2.97,973.05,3.219,2,7
js/src/assembler/wtf/Assertions,91.508,4067.867,3.219,23,2
ipc/chromium/src/base/thread_unittest,2.285,0.0,3.219,0,8
tools/profiler/libunwind/src/src/ppc32/Linit,2.285,0.0,3.219,0,1
nsIWebBrowserChrome,2.285,0.0,0.812,0,0
gfx/skia/include/images/SkImageDecoder,6.562,2851.975,3.219,23,5
tools/profiler/libunwind/src/src/unwind/GetCFA,2.285,0.0,3.219,0,3
xpcom/ds/nsHashtable,7.985,10332.723,3.22,44,22
intl/uconv/ucvlatin/tcvn5712,2.285,0.0,0.812,0,0
layout/style/nsCSSAnonBoxList,3.681,0.0,3.219,1,1
storage/test/storage_test_harness,6.534,16677.198,3.22,13,21
modules/freetype2/include/freetype/ftrender,3.976,9.517,3.22,5,9
xpcom/io/nsAppDirectoryServiceDefs,7.341,0.0,3.22,50,0
js/src/methodjit/FrameState-inl,3.147,0.0,3.219,7,0
js/jsd/jsdstubs,2.285,0.0,0.812,0,0
security/manager/ssl/src/nsNSSErrors,2.419,0.0,3.22,2,10
intl/uconv/ucvlatin/nsUnicodeToMacCE,2.63,0.034,3.22,2,7
other-licenses/7zstub/src/7zip/FileManager/Resource/ProgressDialog/ProgressDialog,2.725,137.292,3.218,3,10
ipc/chromium/src/base/string_util_icu,28.311,18842.424,3.22,38,9
mozilla/_ipdltest/PTestBridgeMainParent,2.285,0.0,0.812,0,0
nsprpub/pr/src/misc/prolock,2.285,0.0,3.22,0,7
netwerk/test/TestOverlappedIO,2.285,0.0,3.22,0,17
security/nss/lib/ckfw/builtins/builtins,5.002,3693.007,3.22,8,8
security/nss/lib/crmf/crmfget,3.048,5109.388,3.22,8,15
modules/libmar/tool/mar,2.285,0.0,3.22,0,9
security/nss/lib/util/nssilckt,22.964,4324.907,3.22,32,6
gfx/cairo/cairo/src/cairo-slope-private,5.027,96.744,3.219,8,8
js/src/jsiter,19.72,3004.377,3.22,26,43
