bug_id,bug_inducing_commits
784739,8a6554580c4e^43a0dcbc8c59^5232403e7b8f^cdd78230db65^e9992d1e029f^1a0f44310031^fb50e5ff2dab^d1183b4f57b1^1d31362c86ce^9d1cb3806f20^1abd39543f58^3d646df22a4b^e76632e148d6^6e30103582c4^ea2b0eeb663c^a1ad34b3cdc2^454e12a2460f^d0c82cb6eb28^e11ef37d8108^5468db693bfc^294b4124af58^4958e6add3c9^b9b9d9f379db^10f831bfaf08^b3773fd0e281^ea6903f1a7df^f852758f39d1^07a4d4b0260c^f95c9e28869c^2ab27745f1dd^240113669206^e259e884b23a^a440008b594e^77834c13d000^c34e609b0ac1^4980a5f7467f^a6f92d42de4d^d6d732ef5650^2f3d6a230512^c062731105cf^9fcb60770cc8^ef563bc49ec2^e517d4c43143^f4dc271213a4^dbfe682799ef^da7dad5d2c8d^abc8c217f032^8d186b98ff31^9538c86590a4^e413694940b3^0ce82e77046f^cc6944a634c3^5492beca2463^ba19e1cd3f91^3a89af02f119^1c416ab33c8e^6bf3ffd66eed^70dd0e9f14c2^dfb4c969dc3c^c1f39b7c972e^3b932018ce6a^f7b3889f16cc^b9c97e99db42^650ad2ba0092^08410c390aa9^a206aff7a9c6^22b20e5dcdce^7764b54578ed^7ecfc6d09d7f^41c421f97869^dfd8e10f7155^6cf81d2d5d75^5a289ad94bfe^d3f448b20f20^0307226048c8^0884753e359c^ec7577dec4fc^790de2a5e9f5^9ca3d16d575c^c2ddddc68432^d50740efad39^20b2a9dedffa^1c913526c597^6aefeb68c04d^71292b71e5ad^a42ff92a089e^6b8a69007ff1^d2805aefa5b7^aa383564c5b6^c8c311a822bb^9b2a99adc05e^d62549575865^d1328e8b7e4d^90f71c5e14d8^b8e409a955c1^76fba3ad58dd^d583589d5669^1d1fe1d1e626^797896e68634^b4bcfcefd29d^54a8b1b25477^9dde6af30ab2^c12368faa2fe^17c65d32c7b8^9e93f190f64c^4903e106f83a^413699472929^b1923b866d6a^f292d7bd2e93^b4efed6c459c^37207402f983^d6d53dac9f99^b381eacdbca5^7916ff577de1^3c429287dfbe^a1e67b8915a0^34d87d26a315^8e0b1aaf4acb^d4e35005f5a9^b68b33478e77^3948d561f905^e080642175e6^7b1292782cd3^c15b2b4cfbf2^13ca148b94d9^838464854ec6^e14a523e99d3^67eb3827b7eb^fdd555ade242^eda6e47eb835^adbc4043e8bd^60df75bc1428^64d8811a32ec^f0367ec52766^afe6f788949a^de9137456817^90d1568a80b5^a16372ce30b5^6e090de49b9c
912582,99e03f6249b9^3d9424eb6eb4
813057,
1130203,
784730,e867507fd875
1197944,
1199289,
669158,720ec564772b
1092915,8a4df73f1ab8^3c00146008c2
846133,
1258711,
1041663,
712937,
1041667,
669154,
1065777,
1126240,
825288,d178bdc3a557^4ee6b1acd5ea^1bdb337e3136^338df6399528
1188010,
858617,
1230438,
783754,f07aca82e80e^44708c07084e
680257,9b2a99adc05e^1706e681390c
968828,
1251894,478c8b6a9736^7756089b8570^e8c7dfe727cd^6a36a9e6fa35^c6962b015a6a^dd3e8945b40d^f429da79b7e3
1183153,
1073328,
1258576,947d5be8b6ef^1cda7977a8f1
1163109,73236a129e4d^db7df4ebfaf5
1217571,1b5445f3ff22
1257389,c7c07736ee7a^8069054ebfc7
1185889,
1041448,
1250766,
957759,49c9b4e6325b^772d9d20cdf9^3e44ba449b0f^b5c4b792f3f2^9786d30f60b3^c0128d154ed3^f7b3e94e3d50^6cfc4f26a183^7ebd1e1a8197^5c5453914a20^45907821616d^e524829ba4b7^260e98308023^4eca387b65c5^06025e91dc9f^d8dc49d5bd60^b1f9f2bcaf16^37f6cc6d5bf3^7f5fad93ef78^4587cc2d0154^cf2a20bbc6cf^76c18ac8fb97^e5def2cce4bc^a61e49ccdf6b^a16372ce30b5^d6469d32b385
1252713,4f02780c73e3
1263857,50b237b0fbaa
973268,ae65ce5431eb
871849,
985875,
973264,cfecc1e79952^486ec13ac5d7^0428fd3a0d3a^12e72f2f90e3
1082178,f7c514f26232^1e4d9ad776aa^b5c4b792f3f2^f631e1b0e296^e385a9429c3a
696436,
1180101,05fe24d0499a
898720,
1180106,
1180107,
1210381,
1102896,683469687a86
877700,e99895e04814^c7d04e4989c2^f35c89eac392^a16372ce30b5
902908,92cb78f13877^618c1cf5a236^3b419a7a354c^46d879f24756^f502aa717c5d^2b94770c2bf8^ab790991e91f^a86e7631ef65^691c944bb025^ad399da18b2c^a69ecadc75e1^d8e8d950cfba^b4967e7c6da7^6312e937ae13
1059765,
1151804,
994747,
1035438,31b6ab15760e^cc86d09a7d6b
920621,8576b55d017e^93e55d98952d
915726,
649672,
1113723,
1033121,
649678,
819827,
1168802,e227a12b97a5
885660,5e3ef592602b^1f1f815eb9e8^ed51ae24fee2
809644,
1155474,
820506,8a93aee3c7be
598736,342b86dd79f4^91f0d2cd19e8^7b4b7e59f093^b1d50ee5b9e7
