,bug_id,max_pos,min_neg,overall,owner_pos,owner_neg,manager_pos,manager_neg
9016,1122280,2,-3,-3,0,0,0,0
9017,1124004,2,-2,68,1,-1,0,0
9018,1124002,3,-2,4,3,-2,0,0
9019,1125138,2,-4,-2,1,-4,0,0
9020,1123461,3,-2,1,3,-2,0,0
9021,1123299,3,-2,6,0,0,0,0
9022,1124680,2,-2,0,1,-2,0,0
9023,1123890,1,-2,-1,0,0,0,0
9024,1123893,2,-2,-2,0,0,0,0
9025,1123956,2,-2,0,2,-2,0,0
9026,1123950,2,-3,-6,0,0,0,0
9027,1123952,2,-2,0,0,0,0,0
9028,1124428,3,-3,6,2,-2,0,0
9029,1124091,4,-4,-21,0,0,0,0
9030,1123260,2,-2,1,0,0,0,0
9031,1123345,1,-3,-4,0,0,0,0
