node,page_rank,betweenness,closeness,indegree,outdegree
nsIDOMSVGAnimateTransformElement,2.68,0.0,0.951,0,0
intl/uconv/ucvlatin/nsUnicodeToISOIR111,3.084,0.033,3.499,2,7
security/nss/lib/libpkix/pkix/checker/pkix_signaturechecker,5.324,1.095,3.498,5,13
db/mork/src/morkRow,5.673,1310.734,3.499,14,18
Foundation/Foundation,2.68,0.0,0.951,0,0
content/base/src/nsCSPService,2.853,2158.195,3.499,3,20
nsprpub/pr/src/md/os2/os2io,65.102,644883.418,3.499,56,17
security/nss/lib/zlib/zlib,59.118,14868.005,3.497,13,6
js/src/jsapi-tests/testUTF8,2.68,0.0,3.498,0,3
nsprpub/pr/include/md/_nspr_pthread,2.68,0.0,3.498,0,1
js/src/v8-dtoa/double,3.593,3472.033,3.496,2,4
security/manager/boot/src/nsStrictTransportSecurityService,3.146,864.256,3.499,2,31
js/src/nanojit/nanojit,43.737,16024.246,3.497,20,1
mozilla/_ipdltest/PTestSyncHangChild,2.68,0.0,0.951,0,0
compat,2.68,0.0,0.951,0,0
nsIRDFInferDataSource,2.68,0.0,0.951,0,0
xpcom/glue/nsTHashtable,27.725,5454.508,3.499,83,9
xpcom/reflect/xptcall/src/md/unix/xptcstubs_mips,2.68,0.0,3.499,0,10
webkit/glue/window_open_disposition,2.68,0.0,0.951,0,0
nsIURIWithPrincipal,2.68,0.0,0.951,0,0
modules/zlib/src/gzlib,18.727,32524.966,3.498,5,8
modules/freetype2/include/freetype/internal/ftdriver,2.68,0.0,3.498,0,10
nsIDOMHTMLDataListElement,2.68,0.0,0.951,0,0
widget/src/android/AndroidJavaWrappers,4.005,1246.335,3.499,6,11
security/nss/cmd/libpkix/pkix/top/test_policychecker,2.712,3.292,3.498,1,15
nsIDocShellTreeOwner,2.68,0.0,0.951,0,0
content/svg/content/src/SVGPointList,3.698,3939.829,3.499,7,26
other-licenses/7zstub/src/Common/Buffer,5.158,2.033,3.497,7,1
mozilla/gfx/BaseSize,2.68,0.0,0.951,0,0
toolkit/components/places/Helpers,3.425,734.565,3.499,10,26
jpeg/jdsample,2.84,7519.717,3.498,1,11
usr/include/link,2.68,0.0,0.951,0,0
lockdep,2.68,0.0,0.951,0,0
usr/include/inttypes,2.68,0.0,0.951,0,0
toolkit/crashreporter/google-breakpad/src/common/dwarf/dwarf2enums,7.693,0.0,3.497,4,0
security/nss/lib/ckfw/dbm/token,2.963,10.625,3.498,1,10
gfx/angle/src/compiler/Compiler,5.877,34572.461,3.497,6,16
nsIUnicharInputStream,2.68,0.0,0.951,0,0
layout/style/nsIStyleRuleProcessor,3.542,5.943,3.498,10,4
modules/libreg/src/VerReg,3.758,5182.498,3.498,3,14
modules/freetype2/src/autofit/autofit,2.68,0.0,3.497,0,11
modules/freetype2/moz_ft_shim,2.68,0.0,0.951,0,0
modules/libreg/src/vr_stubs,3.457,918.365,3.499,4,16
IPC/IPCMessageUtils,2.68,0.0,0.951,0,0
toolkit/crashreporter/google-breakpad/src/client/linux/android_link,2.68,0.0,0.951,0,0
toolkit/crashreporter/google-breakpad/src/common/mac/macho_walker,5.418,4.0,3.496,2,3
Region,2.68,0.0,0.951,0,0
storage/public/StatementCache,2.68,0.0,3.499,0,11
content/xslt/src/xslt/txPatternOptimizer,3.042,16.582,3.499,2,10
security/manager/ssl/src/nsPSMBackgroundThread,3.276,1145.986,3.499,4,13
xpcom/io/nsLocalFileOS2,3.156,20511.879,3.499,4,41
nsIDOMStorageEventObsolete,2.68,0.0,0.951,0,0
media/libtheora/lib/x86/mmxidct,2.68,0.0,3.496,0,2
